Field1,title,rating,reviews_number,Brand,Model,Screen_size,Color,Refresh_rate,Weight,Dimensions,Date,ASIN
"LG 27MD5KL-B Ultrafine 27"" IPS LCD 5K UHD Monitor (Renewed)
4.4 out of 5 stars
 107
$1,449.99
$1,449
.
99
Ships to Egypt","LG 27MD5KL-B Ultrafine 27"" IPS LCD 5K UHD Monitor (Renewed)",4.4 out of 5 stars,107,LG,,,,60 Hz,,,,
"Fujitsu Display B20T-6 LED, EU Cable, 38036990  5.0 out of 5 stars 1","Fujitsu Display B20T-6 LED, EU Cable, 38036990",5.0 out of 5 stars,1,82 KHz,,,,Fujitsu,,,,
"ViewSonic VP3881A 38-Inch IPS WQHD+ Curved Ultrawide Monitor with ColorPro 100% sRGB Rec 709, Eye Care, HDR10 Support, USB C, HDMI, USB, DisplayPort for Professional Home and Office  4.0 out of 5 stars 1","ViewSonic VP3881A 38-Inch IPS WQHD+ Curved Ultrawide Monitor with ColorPro 100% sRGB Rec 709, Eye Care, HDR10 Support, USB C, HDMI, USB, DisplayPort for Professional Home and Office",4.0 out of 5 stars,1,ViewSonic,ýColorPro,ý38 Inches,ý4.1 x 35.3 x 15.7 inches,60 Hz,ýVP3881a,ý17.4 pounds,,ýB09HLDCWW8
"Dell U3421WE UltraSharp Curved Monitor, 34.14 Inch Ultrawide Monitor WQHD (3440 x 1440p at 60Hz), in-Plane Switching Technology, 100mmx100mm VESA Mounting Support, Platinum Silver (Latest Model)  3.6 out of 5 stars 10   Climate Pledge FriendlySee 1 certificationClimate Pledge Friendly uses sustainability certifications to highlight products that support our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1)<img alt="""" src=""https://m.media-amazon.com/images/I/21OXy0oJ8VL._SS160_.png"" height=""40px"" width=""40px""/> EPEAT","Dell U3421WE UltraSharp Curved Monitor, 34.14 Inch Ultrawide Monitor WQHD (3440 x 1440p at 60Hz), in-Plane Switching Technology, 100mmx100mm VESA Mounting Support, Platinum Silver (Latest Model)",3.6 out of 5 stars,10,60 Hz,ýDell UltraSharp 34 Curved USB-C Hub Monitor - U3421WE,ý34.14 Inches,ý32.02 x 9.35 x 21.37 inches,"Multimedia, Personal, Business",ýU3421WE,ý25.7 pounds,ýB08SKYDLLQ,ý100 Volts
Samsung Odyssey 49-in Gaming G9 Computer Monitor LC49G97TSSNXDC  3.8 out of 5 stars 20,Samsung Odyssey 49-in Gaming G9 Computer Monitor LC49G97TSSNXDC,3.8 out of 5 stars,20,SAMSUNG,ýLC49G97TSSNXDC,ý49 Inches,ýSamsung,240 Hz,ý44.3 pounds,ý49.5 x 18.9 x 14.3 inches,,"ýSeptember 21, 2020"
"ViewSonic VP3881 38-Inch Premium IPS WQHD+ Curved Ultrawide Monitor with ColorPro 100% sRGB Rec 709, 14-bit 3D LUT, Eye Care, HDR10 Support, USB C, HDMI, USB, DisplayPort for Home and Office  4.6 out of 5 stars 268","ViewSonic VP3881 38-Inch Premium IPS WQHD+ Curved Ultrawide Monitor with ColorPro 100% sRGB Rec 709, 14-bit 3D LUT, Eye Care, HDR10 Support, USB C, HDMI, USB, DisplayPort for Home and Office",4.6 out of 5 stars,268,60 Hz,ýVP3881,ý38 Inches,ý4.06 x 35.28 x 15.67 inches,"Personal, Business",ýVP3881,ý28 pounds,ýB074F2G8ZP,ý240 Volts
HP Z Display Z32 31.5 inch 4K UHD (3840 x 2160) WLED LCD Black Pearl  4.1 out of 5 stars 58,HP Z Display Z32 31.5 inch 4K UHD (3840 x 2160) WLED LCD Black Pearl,4.1 out of 5 stars,58,60 Hz,ý1AA81A8#ABA,ý31.5 Inches,ýBlack Pearl,Personal,ý26.8 pounds,ý28.1 x 9.8 x 22.2 inches,,ýNo
"HP Z32 31.5 Inch 4K UHD 3840 x 2160 LED Backlit Gaming Monitor with IPS, Tilt and Swivel, Vesa Compatible, Black Pearl (HDMI, USB-C and DisplayPort)  2.9 out of 5 stars 2","HP Z32 31.5 Inch 4K UHD 3840 x 2160 LED Backlit Gaming Monitor with IPS, Tilt and Swivel, Vesa Compatible, Black Pearl (HDMI, USB-C and DisplayPort)",2.9 out of 5 stars,2,HP,,,,Gaming,,,,
LG 34GP950G-B 34 Inch Ultragear QHD (3440 x 1440) Nano IPS Curved Gaming Monitor with 1ms Response Time and 144HZ Refresh Rate and NVIDIA G-SYNC Ultimate with Tilt/Height Adjustable Stand - Black  4.5 out of 5 stars 606,LG 34GP950G-B 34 Inch Ultragear QHD (3440 x 1440) Nano IPS Curved Gaming Monitor with 1ms Response Time and 144HZ Refresh Rate and NVIDIA G-SYNC Ultimate with Tilt/Height Adjustable Stand - Black,4.5 out of 5 stars,606,144 Hz,ý34GP950G-B,ý34 Inches,ý32.1 x 12.3 x 18.5 inches,"Gaming, Business",ý34GP950G-B,ý20.1 pounds,"ýJune 22, 2021",ýLG
Iiyama ProLite E2773HDS 27 inch LED Backlit LCD Monitor 1200:1 300cd/m2 1920x1080 1ms D-Sub/DVI-D/HDMI (Black)  3.7 out of 5 stars 80,Iiyama ProLite E2773HDS 27 inch LED Backlit LCD Monitor 1200:1 300cd/m2 1920x1080 1ms D-Sub/DVI-D/HDMI (Black),3.7 out of 5 stars,80,HDMI,,,,27 Inches,,,,
"Acer B6 B276HKBymjdpprzx LED Display 68,6 cm (27"") 4K Ultra HD Grigio  4.6 out of 5 stars 2","Acer B6 B276HKBymjdpprzx LED Display 68,6 cm (27"") 4K Ultra HD Grigio",4.6 out of 5 stars,2,68 Centimeters,,,,Acer,,,,
"SAMSUNG CJ890 Series 49-Inch Ultrawide QHD (3840x1080) Computer Monitor, 144Hz, Curved, HDMI, USB-C, Height Adjustable Stand, 3 Yr WRNTY (LC49J890DKNXZA)  4.5 out of 5 stars 658","SAMSUNG CJ890 Series 49-Inch Ultrawide QHD (3840x1080) Computer Monitor, 144Hz, Curved, HDMI, USB-C, Height Adjustable Stand, 3 Yr WRNTY (LC49J890DKNXZA)",4.5 out of 5 stars,658,144 Hz,ýC49J890DKN,ý49 Inches,ý15 x 47.4 x 20.7 inches,"Multimedia, Gaming, Business",ýLC49J890DKNXZA,ý33.3 pounds,"ýApril 27, 2018",ýB07CS4KF7J
"Planar PS PS6552 65-Inch Screen LED-Lit Monitor
5.0 out of 5 stars
 1
$2,400.00
$2,400
.
00
Only 10 left in stock - order soon.",Planar PS PS6552 65-Inch Screen LED-Lit Monitor,5.0 out of 5 stars,1,Planar,"ýPLANAR SYSTEMS, INC.",ý65 Inches,ý59.9 x 3.2 x 34.8 inches,"Personal, gaming, business",ýPS6552,ý110 pounds,,ýNo
"ASUS TUF Gaming 28” 4K 144HZ DSC HDMI 2.1 Gaming Monitor (VG28UQL1A) - UHD (3840 x 2160), Fast IPS, 1ms, Extreme Low Motion Blur Sync, G-SYNC Compatible, FreeSync Premium, Eye Care, DCI-P3 90%
4.6 out of 5 stars
 1,145
$799.99
$799
.
99
Ships to Egypt
More Buying Choices
$735.99(11 used & new offers)","ASUS TUF Gaming 28” 4K 144HZ DSC HDMI 2.1 Gaming Monitor (VG28UQL1A) - UHD (3840 x 2160), Fast IPS, 1ms, Extreme Low Motion Blur Sync, G-SYNC Compatible, FreeSync Premium, Eye Care, DCI-P3 90%",4.6 out of 5 stars,"1,145",144 Hz,ýVG28UQL1A,ý28 Inches,ý25.18 x 21.25 x 8.42 inches,"Personal, Gaming, Business",ýVG28UQL1A,ý15.19 pounds,"ýSeptember 10, 2021",ýB09FP3J623
"BenQ PD3220U 32 inch 4K Monitor IPS | HDR | AQCOLOR | Display P3 | DCI-P3 | sRGB|Rec.709 | Hotkey Puck G2 | Eye-Care | ICC sync | Thunderbolt 3 for Mac | Grey
4.4 out of 5 stars
 668
$1,199.99
$1,199
.
99
Only 5 left in stock - order soon.
More Buying Choices
$909.99(8 used & new offers)
Price may vary by color",BenQ PD3220U 32 inch 4K Monitor IPS | HDR | AQCOLOR | Display P3 | DCI-P3 | sRGB|Rec.709 | Hotkey Puck G2 | Eye-Care | ICC sync | Thunderbolt 3 for Mac | Grey,4.4 out of 5 stars,668,60 Hz,ýPD3220U,ý32 Inches,ý24.71 x 7.32 x 28.14 inches,"Personal, Business",ýPD3220U,ý30 pounds,,ýB07N4PSVWJ
"Acer Predator XB323QK NVbmiiphuzx 31.5"" UHD (3840 x 2160) Agile-Splendor IPS Gaming Monitor | G-SYNC Compatible | Up to 0.5ms | 144Hz | DCI-P3 90% | 1-USB Type-C, 1-Display Port 1.4 & 2-HDMI 2.1 Ports
4.0 out of 5 stars
 6
$1,199.99
$1,199
.
99
Ships to Egypt
Usually ships within 1 to 2 months.
More Buying Choices
$1,143.46(5 new offers)","Acer Predator XB323QK NVbmiiphuzx 31.5"" UHD (3840 x 2160) Agile-Splendor IPS Gaming Monitor | G-SYNC Compatible | Up to 0.5ms | 144Hz | DCI-P3 90% | 1-USB Type-C, 1-Display Port 1.4 & 2-HDMI 2.1 Ports",4.0 out of 5 stars,6,144 Hz,ýXB323QK Nvbmiiphuzx,ý31.5 Inches,ý28.18 x 12.16 x 21 inches,"Video Editing, Photo Editing, Gaming",ýUM.JX3AA.V01,ý31.8 pounds,"ýOctober 24, 2021",ýB09JCMMMRD
"12.1"" inch Capacitive Touchscreen All Weather Rugged IP67 IK08 Waterproof Display Monitor with HDMI VGA USB DVI Video Inputs 1280x800 Native Resolution, 16x9 Aspect Ratio - 1219GNH
4.0 out of 5 stars
 3
$1,317.98
$1,317
.
98","12.1"" inch Capacitive Touchscreen All Weather Rugged IP67 IK08 Waterproof Display Monitor with HDMI VGA USB DVI Video Inputs 1280x800 Native Resolution, 16x9 Aspect Ratio - 1219GNH",4.0 out of 5 stars,3,Xenarc,,,,"Video Editing, Education, Programming, Photo Editing, Gaming, Business",,,,
"HP Z27 27 Inch IPS LED Backlit Monitor 2-Pack, 4K UHD 3840 x 2160 (2TB68A8#ABA)
3.9 out of 5 stars
 8
$1,199.00
$1,199
.
00","HP Z27 27 Inch IPS LED Backlit Monitor 2-Pack, 4K UHD 3840 x 2160 (2TB68A8#ABA)",3.9 out of 5 stars,8,27 Inches,,,,HP,,,,
"Elo Intellitouch E965017 19-Inch Screen LCD Monitor,Black  4.0 out of 5 stars 1","Elo Intellitouch E965017 19-Inch Screen LCD Monitor,Black",4.0 out of 5 stars,1,ELO,ýE965017,ý19 Inches,ýBlack,Gaming,ý12.64 pounds,ý1.85 x 17.48 x 11.69 inches,ýB002DGIVV4,ýElo
"EIZO FlexScan EV2785 27"" Professional IPS LCD Monitor 3840x2160 EV2785FX-BK
5.0 out of 5 stars
 1
$1,189.00
$1,189
.
00
Only 4 left in stock - order soon.","EIZO FlexScan EV2785 27"" Professional IPS LCD Monitor 3840x2160 EV2785FX-BK",5.0 out of 5 stars,1,Eizo,,,,"Personal, gaming, business",,,,
"Fujitsu Display P24W-6 LED, S26361-K1428-V140  4.0 out of 5 stars 2","Fujitsu Display P24W-6 LED, S26361-K1428-V140",4.0 out of 5 stars,2,24 Inches,,,,Fujitsu,,,,
"ViewSonic VX4381-4K 43 Inch Ultra HD MVA 4K Monitor Widescreen with HDR10 Support, Eye Care, HDMI, USB, DisplayPort for Home and Office  4.4 out of 5 stars 1,326","ViewSonic VX4381-4K 43 Inch Ultra HD MVA 4K Monitor Widescreen with HDR10 Support, Eye Care, HDMI, USB, DisplayPort for Home and Office",4.4 out of 5 stars,"1,326",ViewSonic,ýVX4381-4K,ý43 Inches,ýBlack,75 Hz,ý37.5 pounds,ý13.6 x 38.5 x 26 inches,,"ýJune 23, 2021"
LG 34GN850-B 34 Inch 21: 9 UltraGear Curved QHD (3440 x 1440) 1ms Nano IPS Gaming Monitor with 144Hz and G-SYNC Compatibility - Black (34GN850-B) (Renewed)  4.2 out of 5 stars 47,LG 34GN850-B 34 Inch 21: 9 UltraGear Curved QHD (3440 x 1440) 1ms Nano IPS Gaming Monitor with 144Hz and G-SYNC Compatibility - Black (34GN850-B) (Renewed),4.2 out of 5 stars,47,144 Hz,,,,Gaming,,,,
"Dell Marketing USA LP Ultra Sharp 49"" Screen Led-Lit Monitor Black (U4919DW) (Renewed)
5.0 out of 5 stars
 3
$1,150.16
$1,150
.
16 
$1,860.65
$1,860.65
Get it Mon, Jan 3 - Wed, Jan 5
Only 3 left in stock - order soon.","Dell Marketing USA LP Ultra Sharp 49"" Screen Led-Lit Monitor Black (U4919DW) (Renewed)",5.0 out of 5 stars,3,Dell,,,,60 Hz,,,,
Dell UltraSharp U2711 27-inch Widescreen Flat Panel Monitor – Max Resolution 2560 x 1440 (WQHD)  4.0 out of 5 stars 150,Dell UltraSharp U2711 27-inch Widescreen Flat Panel Monitor – Max Resolution 2560 x 1440 (WQHD),4.0 out of 5 stars,150,60 Hz,ýDell UltraSharp U2711,ý27 Inches,ýBlack,Gaming,ý30 pounds,ý29.25 x 9.88 x 22.99 inches,,ýNo
"iiyama Prolite T1932MSC-B5X Monitor Touch Screen 48,3 cm (19"") 1280 x 1024 Pixel Nero Multi-Touch Da tavolo  5.0 out of 5 stars 1","iiyama Prolite T1932MSC-B5X Monitor Touch Screen 48,3 cm (19"") 1280 x 1024 Pixel Nero Multi-Touch Da tavolo",5.0 out of 5 stars,1,19 Inches,,,,Iiyama,,,,
"ViewSonic 27 16:9, 2560 x 1440 QHD, IPS Flat Monitor, 144Hz, 1ms, W125929626 (IPS Flat Monitor, 144Hz, 1ms MPRT, FreeSync 2 HDMI, DisplayPort, Speakers, 3 Sides Frameless)
3.4 out of 5 stars
 6
$342.99
$342
.
99
Only 10 left in stock - order soon.","ViewSonic 27 16:9, 2560 x 1440 QHD, IPS Flat Monitor, 144Hz, 1ms, W125929626 (IPS Flat Monitor, 144Hz, 1ms MPRT, FreeSync 2 HDMI, DisplayPort, Speakers, 3 Sides Frameless)",3.4 out of 5 stars,6,144 Hz,,,,"Home Entertainment, Gaming",,,,
